year,sex,ager12,ucr39,count
2007,F,6,9,2182
2007,F,6,10,1167
2007,F,6,12,115
2007,F,6,13,177
2007,F,6,14,294
2007,F,6,15,1710
2007,F,6,16,757
2007,F,6,17,5
2007,F,6,20,442
2007,F,6,21,1489
2007,F,6,22,1572
2007,F,6,23,134
2007,F,6,24,992
2007,F,6,25,8
2007,F,6,26,134
2007,F,6,27,343
2007,F,6,28,404
2007,F,6,29,29
2007,F,6,30,848
2007,F,6,31,327
2007,F,6,32,220
2007,F,6,33,1
2007,F,6,34,256
2007,F,6,36,539
2007,F,6,37,4578
2007,F,6,38,1676
2007,F,6,39,3341
2007,F,6,40,1572
2007,F,6,41,767
2007,F,6,42,470
2007,F,7,1,18
2007,F,7,3,1131
2007,F,7,5,448
2007,F,7,6,2136
2007,F,7,7,1120
2007,F,7,8,5542
2007,F,7,9,5965
2007,F,7,10,3038
2007,F,7,12,541
2007,F,7,13,509
2007,F,7,14,581
2007,F,7,15,4949
2007,F,7,16,2241
2007,F,7,17,52
2007,F,7,20,1191
2007,F,7,21,5876
2007,F,7,22,3474
2007,F,7,23,475
2007,F,7,24,2889
2007,F,7,25,39
2007,F,7,26,328
2007,F,7,27,786
2007,F,7,28,2031
2007,F,7,29,93
2007,F,7,30,2428
2007,F,7,31,973
2007,F,7,32,59
2007,F,7,33,1
2007,F,7,34,328
2007,F,7,36,830
2007,F,7,37,10669
2007,F,7,38,1753
2007,F,7,39,4708
2007,F,7,40,1958
2007,F,7,41,571
2007,F,7,42,645
2007,F,8,1,23
2007,F,8,3,377
2007,F,8,5,625
2007,F,8,6,3722
2007,F,8,7,2641
2007,F,8,8,12896
2007,F,8,9,8695
2007,F,8,10,5480
2007,F,8,12,1183
2007,F,8,13,1136
2007,F,8,14,1088
2007,F,8,15,9207
2007,F,8,16,4667
2007,F,8,17,398
2007,F,8,20,1597
2007,F,8,21,12733
2007,F,8,22,5698
2007,F,8,23,851
2007,F,8,24,4527
2007,F,8,25,108
2007,F,8,26,718
2007,F,8,27,1273
2007,F,8,28,6050
2007,F,8,29,148
2007,F,8,30,2276
2007,F,8,31,1965
2007,F,8,32,2
2007,F,8,34,310
2007,F,8,36,838
2007,F,8,37,16698
2007,F,8,38,1312
2007,F,8,39,2744
2007,F,8,40,1246
2007,F,8,41,255
2007,F,8,42,243
2007,F,9,1,45
2007,F,9,3,79
2007,F,9,5,856
2007,F,9,6,5027
2007,F,9,7,4010
2007,F,9,8,20599
2007,F,9,9,8101
2007,F,9,10,6254
2007,F,9,12,1893
2007,F,9,13,1849
2007,F,9,14,1803
2007,F,9,15,12220
2007,F,9,16,6843
2007,F,9,17,2290
2007,F,9,20,1940
2007,F,9,21,22322
2007,F,9,22,9894
2007,F,9,23,1537
2007,F,9,24,8689
2007,F,9,25,356
2007,F,9,26,1595
2007,F,9,27,2508
2007,F,9,28,13993
2007,F,9,29,221
2007,F,9,30,1950
2007,F,9,31,3710
2007,F,9,32,1
2007,F,9,34,175
2007,F,9,36,1125
2007,F,9,37,25245
2007,F,9,38,1026
2007,F,9,39,2391
2007,F,9,40,441
2007,F,9,41,132
2007,F,9,42,75
2007,F,10,1,69
2007,F,10,2,6
2007,F,10,3,23
2007,F,10,5,1384
2007,F,10,6,7771
2007,F,10,7,5638
2007,F,10,8,21895
2007,F,10,9,8974
2007,F,10,10,6422
2007,F,10,12,3049
2007,F,10,13,3381
2007,F,10,14,2841
2007,F,10,15,16380
2007,F,10,16,11320
2007,F,10,17,14764
2007,F,10,20,4110
2007,F,10,21,53547
2007,F,10,22,25708
2007,F,10,23,3777
2007,F,10,24,24312
2007,F,10,25,1273
2007,F,10,26,3469
2007,F,10,27,7452
2007,F,10,28,24611
2007,F,10,29,447
2007,F,10,30,1750
2007,F,10,31,7282
2007,F,10,34,228
2007,F,10,36,3400
2007,F,10,37,59573
2007,F,10,38,1155
2007,F,10,39,5697
2007,F,10,40,295
2007,F,10,41,120
2007,F,10,42,55
2007,F,11,1,41
2007,F,11,2,7
2007,F,11,3,7
2007,F,11,5,1043
2007,F,11,6,7104
2007,F,11,7,3355
2007,F,11,8,8482
2007,F,11,9,6369
2007,F,11,10,3442
2007,F,11,12,2435
2007,F,11,13,2347
2007,F,11,14,2285
2007,F,11,15,10858
2007,F,11,16,9768
2007,F,11,17,35329
2007,F,11,20,8825
2007,F,11,21,94302
2007,F,11,22,50094
2007,F,11,23,7736
2007,F,11,24,40080
2007,F,11,25,3230
2007,F,11,26,4159
2007,F,11,27,15896
2007,F,11,28,19392
2007,F,11,29,633
2007,F,11,30,635
2007,F,11,31,9337
2007,F,11,34,179
2007,F,11,36,10354
2007,F,11,37,97200
2007,F,11,38,569
2007,F,11,39,9297
2007,F,11,40,116
2007,F,11,41,54
2007,F,11,42,44
2007,F,12,6,1
2007,F,12,8,1
2007,F,12,9,1
2007,F,12,15,1
2007,F,12,17,2
2007,F,12,21,7
2007,F,12,23,1
2007,F,12,24,2
2007,F,12,33,2
2007,F,12,36,28
2007,F,12,37,6
2007,F,12,38,1
2007,F,12,39,8
2007,F,12,40,1
2007,F,12,41,7
2007,F,12,42,2
2007,M,1,1,1
2007,M,1,2,3
2007,M,1,3,5
2007,M,1,8,1
2007,M,1,12,2
2007,M,1,13,1
2007,M,1,14,14
2007,M,1,15,21
2007,M,1,16,5
2007,M,1,20,1
2007,M,1,21,11
2007,M,1,22,227
2007,M,1,23,1
2007,M,1,24,77
2007,M,1,25,1
2007,M,1,26,7
2007,M,1,27,136
2007,M,1,28,27
2007,M,1,29,2
2007,M,1,30,3
2007,M,1,31,78
2007,M,1,33,8167
2007,M,1,34,3080
2007,M,1,35,1423
2007,M,1,36,677
2007,M,1,37,1387
2007,M,1,38,58
2007,M,1,39,669
2007,M,1,41,206
2007,M,1,42,55
2007,M,2,3,3
2007,M,2,8,1
2007,M,2,11,1
2007,M,2,12,2
2007,M,2,13,3
2007,M,2,14,53
2007,M,2,15,131
2007,M,2,16,3
2007,M,2,20,1
2007,M,2,21,3
2007,M,2,22,78
2007,M,2,23,1
2007,M,2,24,20
2007,M,2,26,1
2007,M,2,27,55
2007,M,2,28,30
2007,M,2,30,2
2007,M,2,31,11
2007,M,2,33,35
2007,M,2,34,290
2007,M,2,36,134
2007,M,2,37,549
2007,M,2,38,311
2007,M,2,39,690
2007,M,2,41,215
2007,M,2,42,26
2007,M,3,3,3
2007,M,3,6,1
2007,M,3,8,4
2007,M,3,12,10
2007,M,3,13,23
2007,M,3,14,186
